mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10535526275634766,0.0186272385603364,0.0029326915740966798,0.0004181612740275694,relu,0.01,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.27755102030380674,0.323886639554492,0.3304347824827221,0.15189873409645888,0.22222222212345677,0.26119867971218724,0.06701710175266325,3
0.18282532691955566,0.04673390537582937,0.002926921844482422,0.00020879792613865496,relu,0.01,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.24793388418892148,0.16981132068494126,0.15384615377514793,0.11650485430558959,0.15895257591657339,0.05019419585362089,16
0.17659478187561034,0.0218300161396949,0.003360271453857422,0.0003074008692793945,relu,0.01,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.10666666662826667,0.21757322165711385,0.13270142173491162,0.20253164548886396,0.17224880375302765,0.16634435185243673,0.041622236208660776,12
0.06246881484985352,0.015656988994579228,0.0027158260345458984,0.0002039967656918837,relu,0.001,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.001, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.10039396286010742,0.013686237365487816,0.0027286529541015623,0.0002557449496868863,relu,0.001,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 0.001, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.25104602501762924,0.323886639554492,0.32900432887577064,0.1509433961409754,0.22222222212345677,0.2554205223424648,0.06654159459108318,5
0.170045804977417,0.04555956344072326,0.003193235397338867,0.00041108063652514604,relu,0.001,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.001, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.20512820504302723,0.17061611367803958,0.15384615377514793,0.11650485430558959,0.15055239868601417,0.03599197932308807,17
0.15511093139648438,0.030698802950208416,0.0033870220184326174,0.0003767174222392717,relu,0.001,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 0.001, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.10572687220058608,0.19298245607510003,0.222222222138203,0.20253164548886396,0.0,0.1446926391805506,0.08263459823754167,19
0.06562585830688476,0.012512051289885907,0.0032589912414550783,0.0007769044090795838,relu,0.0001,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.09306564331054687,0.017436750731137457,0.002481412887573242,0.00013113233391182552,relu,0.0001,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.24691358014814818,0.323886639554492,0.2819383258732752,0.1509433961409754,0.22222222212345677,0.24518083276806948,0.0582348898849145,6
0.16431212425231934,0.035683959742199546,0.0027965545654296876,0.00018497469106097038,relu,0.0001,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.24896265549580757,0.17061611367803958,0.15384615377514793,0.0410256410104931,0.14422344611755095,0.06902140254924605,20
0.15877933502197267,0.031695115588723274,0.0033652782440185547,0.0004707848060863364,relu,0.0001,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.1061946902231968,0.1769911503843684,0.2046511627101352,0.20382165597500912,0.1365853657942653,0.16564880501739496,0.038694895063009604,14
0.0663154125213623,0.015291640001518421,0.002885580062866211,0.000302414170776184,relu,1e-05,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-05, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.09199981689453125,0.016439225188076917,0.002649402618408203,0.00014488754920473547,relu,1e-05,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-05, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.24691358014814818,0.323886639554492,0.2819383258732752,0.1509433961409754,0.22222222212345677,0.24518083276806948,0.0582348898849145,6
0.1433584213256836,0.03032796667502891,0.0029458999633789062,0.0003443894108440131,relu,1e-05,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-05, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.24896265549580757,0.1523809523187301,0.15384615377514793,0.0410256410104931,0.14057641384568906,0.06800476135364221,21
0.12818503379821777,0.017255917777011905,0.0033063411712646483,0.00038669583782637387,relu,1e-05,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1e-05, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.0723981900231363,0.17777777772333828,0.2046511627101352,0.20253164548886396,0.0,0.13147175518909474,0.08163760154659815,27
