mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__max_depth,param_RF__max_features,param_RF__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0322166919708252,0.0006607166303397657,0.0035517215728759766,0.000133897792905659,3,20,25,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 25}",0.0796019900254944,0.17391304342794464,0.07547169805980775,0.15909090904752066,0.05911330047805091,0.10943818820776367,0.04732634602925767,93
0.06435418128967285,0.0012620554650190376,0.0056667327880859375,0.0007953614353793228,3,20,50,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 50}",0.07920792076325849,0.17475728150721087,0.038277511920514644,0.11494252870233847,0.07843137252979623,0.09712332308462375,0.04577714656168264,96
0.19013986587524415,0.0029281992356072054,0.01375422477722168,0.0004929316110146649,3,20,150,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 150}",0.059701492513056606,0.1379310344494649,0.038461538424556206,0.09248554910488155,0.07843137252979623,0.0814021974043511,0.033591655777660163,103
0.004680538177490234,0.0004830424806367098,0.0017450809478759765,4.044315657919101e-05,5,4,3,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 3}",0.18691588777343002,0.07655502386511295,0.07582938383684103,0.2116402115414462,0.05741626790137587,0.1216713549836412,0.06421359681165191,88
0.006689023971557617,0.0005139425216649851,0.001966238021850586,0.00012830898490275385,5,4,5,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 5}",0.11650485432274482,0.1730769230225592,0.05769230765532544,0.235294117555778,0.038834951428032796,0.12428063079688804,0.07280179115753341,87
0.012166643142700195,0.00031745938663429047,0.0023106098175048827,4.2895630441163604e-05,5,4,10,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 10}",0.07804878044582984,0.17475728150721087,0.0,0.17582417575316986,0.019607843118031525,0.08964761616484843,0.07449409700062797,101
0.02894725799560547,0.0005530263661832297,0.0036882400512695313,0.00030689635875837834,5,4,25,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 25}",0.03980099500061879,0.11822660095192797,0.03902439022010708,0.11428571424731428,0.01990049750748744,0.06624763958549111,0.04146819729999251,105
0.058037185668945314,0.0011673190876086122,0.005673980712890625,0.00027623677442616953,5,4,50,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 50}",0.07920792076325849,0.11881188115929811,0.01980198018821684,0.06976744183775012,0.01990049750748744,0.0614979442912022,0.03777781416925722,110
0.17495336532592773,0.002097159917163575,0.013404750823974609,0.000743290935684245,5,4,150,"{'RF__max_depth': 5, 'RF__max_features': 4, 'RF__n_estimators': 150}",0.020100502497714702,0.09950248753793223,0.0,0.0930232557912385,0.01990049750748744,0.04650534866687457,0.04132890967060909,111
0.004291915893554687,5.217513748582387e-05,0.0017401218414306641,1.827014499042608e-05,5,7,3,"{'RF__max_depth': 5, 'RF__max_features': 7, 'RF__n_estimators': 3}",0.1674418603845538,0.18779342715660471,0.1290322579923124,0.249999999890625,0.1502347417267297,0.1769004574301651,0.04136203541137558,69
